,Términos,enfado.4,ansiedad,tristeza.4,positiva,negativa
427,emocionadas,0.0,0.0,0.0,1.0,0.0
428,emocionado,0.0,0.0,0.0,1.0,0.0
429,emocionados,0.0,0.0,0.0,1.0,0.0
430,empeorar,1.0,0.0,0.0,0.0,1.0
431,empeorando,1.0,0.0,0.0,0.0,1.0
432,enamorada,0.0,0.0,0.0,1.0,0.0
433,enamoradas,0.0,0.0,0.0,1.0,0.0
434,enamorado,0.0,0.0,0.0,1.0,0.0
435,enamorados,0.0,0.0,0.0,1.0,0.0
436,encabronando,1.0,0.0,0.0,0.0,1.0
437,enfados,1.0,0.0,0.0,0.0,1.0
438,enfado,1.0,0.0,0.0,0.0,1.0
439,enfermiza,0.0,0.0,0.0,0.0,0.0
440,enfermizas,0.0,0.0,0.0,0.0,0.0
441,enfermizos,0.0,0.0,0.0,0.0,0.0
442,enfermizo,0.0,0.0,0.0,0.0,0.0
443,enfermo,0.0,0.0,0.0,0.0,0.0
444,enfurece,1.0,0.0,0.0,0.0,1.0
445,enfermos,0.0,0.0,0.0,0.0,0.0
446,enfurecer,1.0,0.0,0.0,0.0,1.0
447,engañada,1.0,0.0,0.0,0.0,1.0
448,engañadas,1.0,0.0,0.0,0.0,1.0
449,engañados,1.0,0.0,0.0,0.0,1.0
450,engañosa,1.0,0.0,0.0,0.0,1.0
451,engañado,1.0,0.0,0.0,0.0,1.0
452,engañosas,1.0,0.0,0.0,0.0,1.0
453,engañosos,1.0,0.0,0.0,0.0,1.0
454,engañoso,1.0,0.0,0.0,0.0,1.0
455,enloquecerme,0.0,0.0,0.0,0.0,1.0
456,enloquecida,0.0,0.0,0.0,0.0,1.0
457,enloquecidas,0.0,0.0,0.0,0.0,1.0
458,enloquecido,0.0,0.0,0.0,0.0,1.0
459,enloquecido,0.0,0.0,0.0,0.0,1.0
460,enloquecer,0.0,0.0,0.0,0.0,1.0
461,enloquecidos,0.0,0.0,0.0,0.0,1.0
462,enojadísimo,0.0,1.0,0.0,0.0,1.0
463,enójame,0.0,1.0,0.0,0.0,1.0
464,enredada,0.0,0.0,0.0,0.0,0.0
465,enorme,0.0,0.0,0.0,0.0,0.0
466,enredadas,0.0,0.0,0.0,0.0,0.0
